"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
2015-10-16,3.67,3.68,3.13,4.4,5.69,7.3,8.55,9.05,6.65
2015-10-17,3.64,3.65,2.99,4.35,5.63,7.26,8.57,9.08,6.66
2015-10-18,3.61,3.63,2.88,4.3,5.6,7.23,8.6,9.08,6.68
2015-10-19,3.64,3.65,2.85,4.31,5.62,7.27,8.7,9.09,6.7
2015-10-20,3.61,3.61,2.73,4.25,5.61,7.23,8.73,9.08,6.72
2015-10-21,3.59,3.61,2.69,4.19,5.52,7.15,8.67,9.08,6.78
2015-10-22,3.41,3.56,2.55,4.1,5.51,6.97,8.52,9.06,6.87
2015-10-23,3.42,3.64,2.64,4.17,5.47,7.01,8.46,9.12,6.86
2015-10-24,3.4,3.59,2.62,4.11,5.46,7,8.56,9.12,6.89
2015-10-25,3.48,3.65,2.61,4.13,5.47,7.06,8.69,9.13,6.86
2015-10-26,3.49,3.61,2.62,4.06,5.42,7.03,8.9,9.09,6.88
2015-10-27,3.48,3.61,2.54,4.04,5.37,6.99,8.97,9.06,6.92
2015-10-28,3.52,3.68,2.38,3.98,5.31,6.88,8.95,9.05,6.91
2015-10-29,3.43,3.68,2.34,3.96,5.32,6.72,8.82,9.03,6.94
2015-10-30,3.67,3.9,2.58,4.09,5.4,6.88,8.86,9.07,6.91
2015-10-31,3.65,3.77,2.5,3.93,5.32,6.76,8.94,8.95,6.99
2015-11-01,3.53,3.76,2.24,3.81,5.24,6.44,8.63,8.89,7
2015-11-02,3.6,3.93,2.49,4,5.28,6.61,8.62,8.94,6.96
2015-11-03,3.75,3.91,2.47,3.91,5.35,6.7,8.74,8.92,6.96
2015-11-04,3.95,4.15,2.58,4,5.56,6.8,8.96,8.93,6.93
2015-11-05,3.97,3.97,2.61,3.94,5.64,6.8,8.98,8.88,6.9
2015-11-06,3.9,3.96,2.48,3.95,5.59,6.8,8.98,8.89,6.91
2015-11-07,3.98,4.05,2.55,4.02,5.7,6.95,8.99,8.87,6.91
2015-11-08,3.86,3.83,2.62,4,5.73,7.01,8.99,8.79,6.91
2015-11-09,3.72,3.72,2.46,3.91,5.55,6.78,8.93,8.75,6.9
2015-11-10,3.62,3.8,2.59,3.98,5.44,6.61,8.83,8.76,6.9
2015-11-11,3.7,3.84,2.57,4,5.5,6.67,8.79,8.77,6.88
2015-11-12,3.96,4.21,2.56,4.05,5.63,6.67,8.8,8.76,6.88
2015-11-13,4.11,4.16,2.57,3.95,5.66,6.61,8.7,8.73,6.87
2015-11-14,4.18,4.28,2.77,4.04,5.71,6.7,8.7,8.66,6.89
2015-11-15,4.21,4.23,3.11,4.21,5.87,6.89,8.71,8.58,6.9
2015-11-16,3.97,4.07,3.16,4.35,5.89,7.02,8.74,8.47,6.9
2015-11-17,3.67,3.9,3.12,4.41,5.88,7.07,8.7,8.39,6.91
2015-11-18,3.52,3.85,3.06,4.48,5.91,7.06,8.65,8.33,6.92
2015-11-19,3.39,3.78,3.07,4.54,5.95,7.05,8.65,8.31,6.93
2015-11-20,3.35,3.79,3.08,4.55,5.93,7.02,8.67,8.32,6.94
2015-11-21,3.32,3.74,3.06,4.51,5.87,6.97,8.69,8.29,6.93
2015-11-22,3.35,3.75,3.05,4.46,5.8,6.94,8.67,8.24,6.91
2015-11-23,3.43,3.79,3.01,4.42,5.74,6.9,8.66,8.15,6.87
2015-11-24,3.53,3.79,2.99,4.34,5.67,6.85,8.61,8.08,6.82
2015-11-25,3.5,3.76,3,4.35,5.66,6.8,8.6,8.01,6.76
2015-11-26,3.43,3.76,2.97,4.4,5.71,6.61,8.6,8,6.7
2015-11-27,3.42,3.84,3.11,4.48,5.7,6.52,8.45,8.04,6.65
2015-11-28,3.43,3.8,3.03,4.4,5.61,6.43,8.24,8.12,6.6
2015-11-29,3.49,3.91,3,4.43,5.57,6.52,8.26,8.14,6.56
2015-11-30,3.59,3.95,2.91,4.34,5.5,6.47,8.27,8.17,6.52
2015-12-01,3.64,4.08,2.9,4.38,5.49,6.45,8.28,8.17,6.52
2015-12-02,3.72,3.98,2.83,4.24,5.45,6.39,8.18,8.15,6.49
2015-12-03,3.67,4.01,2.79,4.24,5.43,6.38,8.14,8.09,6.46
2015-12-04,3.68,4.05,2.82,4.33,5.59,6.39,8.12,7.96,6.44
2015-12-05,3.96,4.57,3.1,4.59,6.01,6.55,8.18,7.76,6.47
2015-12-06,3.71,3.94,3.09,4.48,5.86,6.53,8.15,7.71,6.44
2015-12-07,3.58,3.97,3.03,4.5,5.79,6.51,8.13,7.6,6.48
2015-12-08,3.38,3.74,3,4.5,5.75,6.44,8.1,7.52,6.47
2015-12-09,3.33,3.83,2.98,4.53,5.75,6.41,8.09,7.41,6.49
2015-12-10,3.38,3.91,3,4.51,5.76,6.38,8.04,7.33,6.5
2015-12-11,3.38,3.81,2.97,4.41,5.7,6.33,8.01,7.3,6.49
2015-12-12,3.32,3.75,2.95,4.35,5.61,6.29,7.99,7.24,6.5
2015-12-13,3.28,3.65,2.93,4.31,5.54,6.24,7.95,7.21,6.5
2015-12-14,3.12,3.53,2.91,4.31,5.55,6.17,7.89,7.21,6.49
2015-12-15,3.01,3.61,3.1,4.44,5.57,6.19,7.78,7.18,6.52
2015-12-16,3.22,3.82,3.16,4.51,5.68,6.13,7.71,7.14,6.55
2015-12-17,3.53,4.24,3.05,4.45,5.74,5.96,7.51,7.09,6.56
2015-12-18,3.57,4.02,2.91,4.26,5.59,5.93,7.45,7.06,6.56
2015-12-19,3.47,3.74,2.91,4.15,5.45,5.93,7.48,7.02,6.56
2015-12-20,3.37,3.62,2.97,4.14,5.39,5.92,7.46,7,6.55
2015-12-21,3.08,3.37,3,4.19,5.47,5.75,7.41,6.99,6.54
2015-12-22,3.08,3.49,3.13,4.27,5.36,5.71,7.07,6.98,6.53
2015-12-23,3.18,3.56,3.1,4.28,5.24,5.61,6.9,6.95,6.52
2015-12-24,3.31,3.74,2.93,4.15,5.25,5.35,6.7,6.85,6.51
2015-12-25,3.46,3.71,2.89,4,5.1,5.17,6.47,6.77,6.49
2015-12-26,3.24,3.33,3,3.96,5.01,5.2,6.37,6.73,6.48
2015-12-27,3.22,3.53,2.91,4,4.95,5.2,6.42,6.76,6.46
2015-12-28,3.21,3.58,2.9,4.03,4.96,5.17,6.43,6.76,6.45
2015-12-29,3.29,3.73,2.85,4.01,4.95,5.12,6.36,6.7,6.44
2015-12-30,3.27,3.81,3,4.07,4.91,5.09,6.31,6.65,6.45
2015-12-31,3.33,3.95,2.92,4,4.85,5.03,6.19,6.6,6.45
2016-01-01,3.43,3.98,2.83,3.89,4.78,4.98,6.16,6.6,6.45
2016-01-02,3.47,3.91,2.75,3.78,4.72,4.93,6.08,6.63,6.45
2016-01-03,3.42,3.84,2.71,3.74,4.68,4.93,6.08,6.68,6.44
2016-01-04,3.37,3.77,2.68,3.73,4.69,4.94,6.09,6.72,6.44
2016-01-05,3.34,3.81,2.68,3.77,4.72,4.96,6.1,6.76,6.43
2016-01-06,3.33,3.85,2.72,3.82,4.74,4.96,6.09,6.74,6.41
2016-01-07,3.34,3.81,2.74,3.76,4.73,4.94,6.05,6.67,6.41
2016-01-08,3.32,3.85,2.76,3.79,4.73,4.95,6.02,6.65,6.41
2016-01-09,3.31,3.85,2.81,3.83,4.72,4.95,5.98,6.66,6.39
2016-01-10,3.35,3.9,2.79,3.78,4.7,4.9,5.92,6.63,6.37
2016-01-11,3.36,3.83,2.74,3.68,4.63,4.87,5.9,6.61,6.36
2016-01-12,3.4,3.91,2.79,3.66,4.55,4.85,5.77,6.67,6.35
2016-01-13,3.22,3.53,2.86,3.68,4.58,4.87,5.75,6.66,6.35
2016-01-14,3.24,3.68,2.91,3.82,4.58,4.9,5.85,6.78,6.32
2016-01-15,3.09,3.42,3,3.83,4.65,4.93,5.91,6.76,6.33
2016-01-16,3.03,3.51,3,3.91,4.69,4.88,5.94,6.74,6.33
2016-01-17,3.07,3.53,3.2,4.07,4.75,4.88,5.9,6.75,6.32
2016-01-18,3.11,3.63,3.17,4.08,4.79,4.84,5.91,6.71,6.31
2016-01-19,3.1,3.59,3.07,3.98,4.75,4.79,5.92,6.66,6.31
2016-01-20,3.1,3.53,3.05,3.88,4.75,4.85,5.94,6.66,6.3
2016-01-21,2.94,3.39,3.07,3.89,4.73,4.88,5.94,6.64,6.3
2016-01-22,2.77,3.28,3.1,3.95,4.69,4.8,5.95,6.66,6.3
2016-01-23,2.72,3.28,3.11,4.01,4.72,4.83,5.96,6.7,6.3
2016-01-24,2.69,3.2,3.07,3.98,4.72,4.8,5.96,6.69,6.29
2016-01-25,2.67,3.13,3.01,3.9,4.66,4.75,5.97,6.66,6.28
2016-01-26,2.67,3.08,2.95,3.79,4.58,4.72,5.96,6.66,6.28
2016-01-27,2.67,3.09,2.94,3.72,4.52,4.71,5.93,6.68,6.28
2016-01-28,2.65,3.04,2.96,3.74,4.5,4.7,5.92,6.74,6.28
2016-01-29,2.64,3.1,2.95,3.8,4.52,4.7,5.93,6.8,6.27
2016-01-30,2.62,3.07,2.97,3.87,4.6,4.76,6.01,6.84,6.26
2016-01-31,2.6,3.06,3.03,3.93,4.73,4.88,6.2,6.84,6.26
2016-02-01,2.57,3.03,3.02,3.92,4.73,4.95,6.2,6.82,6.26
2016-02-02,2.55,2.98,3.03,3.88,4.68,4.96,6.19,6.84,6.28
2016-02-03,2.52,2.96,3.07,3.93,4.66,4.93,6.19,6.86,6.29
2016-02-04,2.49,2.95,3.08,3.96,4.66,4.92,6.18,6.87,6.28
2016-02-05,2.47,2.91,3.04,3.89,4.65,4.92,6.15,6.84,6.28
2016-02-06,2.46,2.86,3,3.88,4.68,4.98,6.16,6.84,6.28
2016-02-07,2.47,2.89,3.01,3.82,4.67,5.01,6.14,6.8,6.28
2016-02-08,2.47,2.88,2.95,3.84,4.6,5,6.13,6.8,6.28
2016-02-09,2.46,2.86,3.04,3.92,4.64,5.01,6.12,6.81,6.28
2016-02-10,2.59,3.02,3.13,3.99,4.93,5.28,6.41,6.84,6.27
2016-02-11,2.65,3.03,3.13,3.95,4.88,5.31,6.5,6.82,6.27
2016-02-12,2.63,3,3.11,3.95,4.8,5.31,6.43,6.83,6.27
2016-02-13,2.6,2.96,3.08,3.93,4.75,5.29,6.39,6.85,6.27
2016-02-14,2.6,2.95,3.07,3.96,4.74,5.23,6.36,6.86,6.26
2016-02-15,2.59,2.94,3.03,3.95,4.72,5.23,6.32,6.86,6.26
2016-02-16,2.62,2.95,3.02,3.9,4.68,5.17,6.23,6.83,6.26
2016-02-17,2.6,2.92,3.07,3.92,4.63,5.17,6.11,6.82,6.26
2016-02-18,2.57,2.91,2.99,3.79,4.6,5.13,6.12,6.81,6.25
2016-02-19,2.53,2.86,2.97,3.82,4.58,5.13,6.2,6.81,6.25
2016-02-20,2.52,2.87,2.93,3.8,4.6,5.09,6.22,6.8,6.24
2016-02-21,2.5,2.85,2.89,3.76,4.52,5.05,6.16,6.82,6.25
2016-02-22,2.45,2.82,2.89,3.72,4.55,5.06,6.22,6.83,6.26
2016-02-23,2.52,2.89,2.93,3.74,4.55,5.01,6.18,6.84,6.26
