"Date","6 m","8 m","10 m","16 m","22 m"
2001-02-21,-1.055,-1.158,-1.209,-1.403,-1.213
2001-02-22,-1.039,-1.137,-1.189,-1.403,-1.272
2001-02-23,-1.061,-1.16,-1.217,-1.394,-1.261
2001-02-24,-1.124,-1.219,-1.26,-1.307,-1.047
2001-02-25,-1.174,-1.251,-1.264,-1.313,-1.076
2001-02-26,-1.173,-1.277,-1.271,-1.31,-1.003
2001-02-27,-1.145,-1.278,-1.259,-1.299,-0.948
2001-02-28,-1.145,-1.266,-1.261,-1.285,-0.856
2001-03-01,-1.145,-1.299,-1.282,-1.307,-1.063
2001-03-02,-1.137,-1.325,-1.303,-1.302,-1.076
2001-03-03,-1.132,-1.33,-1.316,-1.259,-1.03
2001-03-04,-1.135,-1.333,-1.321,-1.192,-0.802
2001-03-05,-1.143,-1.33,-1.315,-1.035,-0.553
2001-03-06,-1.23,-1.378,-1.349,-0.8,-0.501
2001-03-07,-1.239,-1.41,-1.372,-0.554,-0.426
2001-03-08,-1.167,-1.331,-1.171,-0.543,-0.42
2001-03-09,-1.007,-1.195,-0.978,-0.444,-0.374
2001-03-10,-0.938,-1.184,-0.952,-0.439,-0.371
2001-03-11,-0.85,-1.299,-1.072,-0.505,-0.387
2001-03-12,-1.025,-1.393,-1.299,-0.609,-0.366
2001-03-13,-1.134,-1.386,-1.332,-0.709,-0.379
2001-03-14,-1.142,-1.375,-1.337,-0.737,-0.455
2001-03-15,-1.218,-1.389,-1.34,-0.85,-0.479
2001-03-16,-1.208,-1.383,-1.337,-0.99,-0.537
2001-03-17,-1.142,-1.355,-1.313,-1.023,-0.527
2001-03-18,-1.042,-1.277,-1.297,-0.931,-0.464
2001-03-19,-0.999,-1.233,-1.284,-0.82,-0.444
2001-03-20,-0.947,-1.176,-1.24,-0.672,-0.386
2001-03-21,-0.84,-1.09,-1.154,-0.471,-0.24
2001-03-22,-0.83,-1.071,-1.071,-0.335,-0.14
2001-03-23,-0.809,-1.195,-1.131,-0.29,-0.115
2001-03-24,-0.573,-0.989,-1.003,-0.239,0.016
2001-03-25,-0.357,-0.901,-0.93,-0.321,0.07
2001-03-26,-0.485,-0.88,-0.796,-0.54,0.051
2001-03-27,-0.435,-0.628,-0.514,-0.363,0.144
2001-03-28,-0.401,-0.504,-0.361,-0.236,0.204
2001-03-29,-0.45,-0.644,-0.345,-0.155,0.229
2001-03-30,-0.415,-0.322,-0.126,0.004,0.322
2001-03-31,-0.585,-0.453,-0.102,0.064,0.312
2001-04-01,-0.556,-0.403,0.002,0.187,0.421
2001-04-02,-0.345,-0.414,0.126,0.336,0.498
2001-04-03,-0.218,-0.338,0.195,0.462,0.592
2001-04-04,-0.151,-0.165,0.279,0.579,0.725
2001-04-05,0.213,0.283,0.585,0.773,0.89
2001-04-06,0.485,0.602,0.834,0.932,1.013
2001-04-07,0.79,0.941,1.083,1.056,1.076
2001-04-08,1.009,1.182,1.35,1.168,1.107
2001-04-09,1.14,1.343,1.48,1.286,1.201
2001-04-10,1.264,1.409,1.481,1.339,1.236
2001-04-11,1.473,1.631,1.707,1.415,1.312
2001-04-12,1.809,2.006,2.019,1.564,1.421
2001-04-13,1.809,2.068,2.008,1.667,1.499
2001-04-14,1.549,2.077,1.946,1.678,1.511
2001-04-15,1.942,2.246,2.118,1.691,1.519
2001-04-16,2.181,2.466,2.345,1.787,1.616
2001-04-17,2.444,2.834,2.624,2.019,1.787
2001-04-18,2.634,3.104,2.797,2.179,1.889
2001-04-19,2.724,3.144,2.887,2.267,1.926
2001-04-20,3.006,3.449,3.096,2.522,2.038
2001-04-21,3.252,3.741,3.331,2.8,2.257
2001-04-22,3.567,4.07,3.611,2.976,2.42
2001-04-23,3.898,4.341,3.869,3.343,2.597
2001-04-24,4.312,4.762,4.221,3.486,2.832
2001-04-25,4.616,5.036,4.51,3.844,3.094
2001-04-26,4.946,5.319,4.789,3.936,3.297
2001-04-27,4.958,5.239,4.837,3.941,3.443
2001-04-28,4.959,5.269,4.931,4.011,3.552
2001-04-29,5.164,5.534,5.287,4.166,3.722
2001-04-30,5.211,5.739,5.538,4.363,3.894
2001-05-01,5.393,5.967,5.752,4.538,3.963
2001-05-02,5.6,6.252,5.952,4.684,3.982
2001-05-03,5.719,6.344,6.034,4.724,3.884
